"extension","instruction form","class","level0","level1","level2"
"avx512f","VCVTPS2PH imm, Z, K, mem","turbo2","670622","117201","1123723291"
"avx512dq","VCVTPS2QQ X, K, X","turbo0","1138670951","0","0"
"avx512dq","VCVTPS2QQ X, K, Y","turbo1","565456","1137744451","0"
"avx512dq","VCVTPS2QQ Y, K, Z","turbo2","1006439","8410745","1202535577"
"avx512dq","VCVTPS2QQ mem, K, X","turbo0","1153532796","0","0"
"avx512dq","VCVTPS2QQ mem, K, Y","turbo1","577807","1154681473","0"
"avx512dq","VCVTPS2QQ mem, K, Z","turbo1","580942","1196167780","0"
"avx512f","VCVTPS2UDQ X, K, X","turbo0","1215134205","0","0"
"avx512f","VCVTPS2UDQ Y, K, Y","turbo0","1215260251","0","0"
"avx512f","VCVTPS2UDQ Z, K, Z","turbo2","590002","24144","1119604890"
"avx512f","VCVTPS2UDQ mem, K, X","turbo0","1311591371","0","0"
"avx512f","VCVTPS2UDQ mem, K, Y","turbo0","1313942970","0","0"
"avx512f","VCVTPS2UDQ mem, K, Z","turbo1","574784","1188571061","0"
"avx512dq","VCVTPS2UQQ X, K, X","turbo0","1236692048","0","0"
"avx512dq","VCVTPS2UQQ X, K, Y","turbo1","640912","1139761585","0"
"avx512dq","VCVTPS2UQQ Y, K, Z","turbo2","642499","377858","1169043605"
"avx512dq","VCVTPS2UQQ mem, K, X","turbo0","1200231958","0","0"
"avx512dq","VCVTPS2UQQ mem, K, Y","turbo1","634591","1153750900","0"
"avx512dq","VCVTPS2UQQ mem, K, Z","turbo1","562574","1195009119","0"
"avx512dq","VCVTQQ2PD X, K, X","turbo0","1135082377","0","0"
"avx512dq","VCVTQQ2PD Y, K, Y","turbo0","1216764385","0","0"
"avx512dq","VCVTQQ2PD Z, K, Z","turbo2","554326","38532","1131226518"
"avx512dq","VCVTQQ2PD mem, K, X","turbo0","1153734372","0","0"
"avx512dq","VCVTQQ2PD mem, K, Y","turbo0","1201001251","0","0"
"avx512dq","VCVTQQ2PD mem, K, Z","turbo1","563729","1188320147","0"
"avx512dq","VCVTQQ2PS Z, K, Y","turbo2","565575","32520","1131926794"
